"","x"
"1",0.471692497120143
"2",0
"3",0.473934423684426
"4",-1.42856729940905
"5",-2.34742270172933
"6",-1.37614235652046
"7",-0.452489886818351
"8",0.450451638708189
"9",0.904978894741669
"10",1.82648090391491
"11",1.86046233667965
"12",-5.6872011170786
"13",1.79372538488554
"14",5.0228280290254
"15",-1.44231055663929
"16",3.31753498222373
"17",0
"18",-1.47058396468298
"19",-1.44927825212548
"20",1.42857423640184
"21",-1.93237084644445
"22",2.84360746265531
"23",-2.43902946279118
"24",2.38095721482514
"25",2.4390218828572
"26",-1.00000215116152
"27",-6.43564164598992
"28",1.39535160840479
"29",-1.4150971898032
"30",4.18604804954686
"31",0.970868815626251
"32",-0.980387088137403
"33",1.9417442314983
"34",0.495050799728889
"35",-1.49254027016702
"36",-2.94117507038786
"37",-0.476191257978562
"38",-0.947862403527227
"39",-0.469484357964823
"40",2.33644615724723
"41",-3.34928178083485
"42",-1.38888489226748
"43",0.913237347732202
"44",-0.921654238454728
"45",1.82648090391491
"46",0.930234556173588
"47",1.87793104852295
"48",0
"49",-1.43540256092096
"50",-1.4150971898032
"51",-1.39535160840479
"52",0
"53",0.45871679180983
"54",-0.460830699610759
"55",0.45871679180983
"56",0
"57",0
"58",-1.38248449051756
"59",0
"60",0
"61",-1.36363910460861
"62",1.79372538488554
"63",0.456615126180104
"64",-1.37614235652046
"65",-1.35746878156002
"66",0.446429308871168
"67",0
"68",1.34529414754073
"69",1.36363248293335
"70",2.30415170786213
"71",0.471692497120143
"72",0
"73",3.79146940590814
"74",0
"75",0
"76",0.492611643435199
"77",-1.98019454484528
"78",0.970868815626251
"79",0.49019687654558
"80",1.97044705215412
"81",-0.50251340399083
"82",0
"83",1.00000215116152
"84",-0.252529602567053
"85",3.0226686338203
"86",2.59740733454142
"87",-3.46666937664463
"88",-0.515464769075004
"89",-0.512821853698815
"90",0.51020540886341
"91",2.564107276332
"92",4.21051912745042
"93",-1.09889487144026
"94",7.88043059164532
"95",3.8348116568247
"96",-3.68097999041142
"97",4.14201133786583
"98",-0.617284986778411
"99",4.60122215789138
"100",-2.89388161621918
"101",-5.31250663322882
"102",7.41839943730869
"103",-0.641027329095661
"104",0
"105",-3.82165367905491
"106",-0.306744807293483
"107",1.83485719741628
"108",2.80373931871012
"109",0.961535701962993
"110",1.61812122175623
"111",3.947376079848
"112",0.684932668655728
"113",-6.20689911535969
"114",1.29869465655088
"115",0.657895800330165
"116",0
"117",0.662252733249769
"118",-2.33333262329359
"119",-0.651466869702754
"120",1.94175137489871
"121",2.97029815311366
"122",-3.06122568303963
"123",0
"124",-0.990096179159928
"125",0.98038938135425
"126",2.31023040110092
"127",1.35135425992255
"128",1.02739434664572
"129",-2.76816129459388
"130",-2.35691228129562
"131",0
"132",0.657895800330165
"133",1.6556376216084
"134",1.68349999016723
"135",0.684932668655728
"136",-3.44828309105932
"137",2.33333327074625
"138",0.682594974344295
"139",-3.43642243768704
"140",1.66112784873106
"141",0
"142",0
"143",0
"144",0.675677458062284
"145",0.680273254896831
